index,,input_horizontal,input_vertical,step,Execution_time,Throughout,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
79,GoogLeNet,218,218,1,11.8004822731018,8.47422992430924,95,2.1,7.38,17.193924,4.346004
80,GoogLeNet,218,218,2,11.2329769134521,8.90235961228088,95,1.88,7.43,16.467364,4.164364
81,GoogLeNet,218,218,3,11.333441734314,8.82344501734479,95,1.97,7.55,16.36214,4.138058
82,GoogLeNet,218,218,4,12.0089,,95,2.05,7.91,16.82706,4.254288
,synthetic,150,150,1,3.39046955108643,29.4944397798696,16,0.39,2.63,7.0967,1.796674
,synthetic,150,150,2,4.76601600646973,20.9818850512153,16,0.44,6.93,8.285732,2.093932
,synthetic,150,150,3,3.26485157012939,30.62926379714,16,0.43,2.13,7.742196,1.958048
,synthetic,150,150,4,3.69223833084106,27.0838421140655,16,0.46,2.72,8.216076,2.076518
,synthetic,184,184,1,4.2620062828064,23.4631282462946,16,0.39,3.97,8.983892,2.279828
,synthetic,184,184,2,3.03467035293579,32.952508302346,16,0.28,1.96,7.645156,1.945144
,synthetic,184,184,3,5.26756763458252,18.9840941658693,16,0.43,6.48,9.387924,2.380836
,synthetic,184,184,4,5.40117263793945,18.5144979994844,16,0.78,2.97,13.52574,3.41529
,synthetic,218,218,1,6.82567358016968,14.6505687424792,16,0.83,6.69,16.152204,4.085574
,synthetic,218,218,2,5.80070495605469,17.2392839762728,16,1.02,3.05,18.427812,4.654476
,synthetic,218,218,3,7.79351949691772,12.8311733921432,16,0.79,10.31,14.504276,3.673592
,synthetic,218,218,4,5.19132852554321,19.2628918605255,16,0.73,3.25,13.277596,3.366922
,synthetic,252,252,1,7.46706962585449,13.3921343995177,16,0.78,6.96,16.701204,4.238804
,synthetic,252,252,2,9.19451475143433,10.8760497648231,16,1.07,8.56,18.131796,4.596452
,synthetic,252,252,3,6.74164056777954,14.8331847411047,16,0.96,5.75,17.150428,4.35111
,synthetic,252,252,4,7.66842365264893,13.04048974465,16,1.11,4.84,19.291924,4.886484
,synthetic,286,286,1,10.2242422103882,9.78067596035592,16,1.63,7.29,30.085212,7.603098
,synthetic,286,286,2,9.73732233047485,10.2697637611349,16,1.46,8.12,26.788572,6.778938
,synthetic,286,286,3,12.1934986114502,8.20109167897849,16,1.82,10.16,31.429948,7.939282
,synthetic,286,286,4,12.0162177085876,8.3220862358821,16,1.38,11.79,27.140412,6.866898
,synthetic,320,320,1,17.0933294296265,5.85023534541365,16,2.3,17.66,38.594468,9.751016
,synthetic,320,320,2,10.3686356544495,9.64447043301086,16,1.1,10.83,23.732468,6.035516
,synthetic,320,320,3,13.5609889030457,7.37409349089144,16,2.19,10.91,38.24678,9.664094
,synthetic,320,320,4,14.6560597419739,6.82311629186441,16,1.8,16.92,33.381116,8.447678
,synthetic,354,354,1,17.4232697486877,5.73945082882802,16,2.26,15.65,43.227164,10.932106
,synthetic,354,354,2,14.5121169090271,6.89079344019039,16,1.86,10.79,35.710212,9.052868
