index,model_name,input_horizontal,input_vertical,step,Execution_time,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
160,vgg11,224,224,10,31.7202806472778,27,11.65,6.07,42.442716,10.660854
161,vgg11,256,256,1,38.1315112113953,27,14.33,7.11,47.97158,12.05843
162,vgg11,256,256,2,39.6855783462524,27,15.17,5.87,51.236788,12.874732
163,vgg11,256,256,3,36.7427563667297,27,13.48,7.57,50.908516,12.792664
164,vgg11,256,256,4,33.5757565498352,27,12.28,5.9,45.7021,11.49106
165,vgg11,256,256,5,50.8932065963745,27,19.05,8.65,59.303012,14.891288
166,vgg11,256,256,6,44.8150205612183,27,16.93,7.84,56.584236,14.211594
167,vgg11,256,256,7,43.8633632659912,27,16.41,8.43,61.121964,15.346026
168,vgg11,256,256,8,45.3330731391907,27,16.7,7.98,60.39242,15.16364
169,vgg11,256,256,9,48.8020467758179,27,18.61,8.64,61.397948,15.415022
170,vgg11,256,256,10,46.9541215896606,27,17.85,9.1,57.324364,14.396626
171,vgg11,288,288,1,32.157883644104,27,10.57,3.69,66.589604,16.730344
172,vgg11,288,288,2,41.589093208313,27,14.91,5.16,72.451612,18.195846
173,vgg11,288,288,3,57.4408316612244,27,21.21,8.69,66.959124,16.822724
174,vgg11,288,288,4,56.197509765625,27,20.12,8.65,66.787452,16.779806
175,vgg11,288,288,5,34.7041201591492,27,11.61,4.65,64.571924,16.225924
176,vgg11,288,288,6,63.0181860923767,27,23.56,9.62,67.74566,17.019358
177,vgg11,288,288,7,53.6477899551392,27,19.81,7.23,68.927292,17.314766
178,vgg11,288,288,8,56.4488768577576,27,21.16,8.27,60.906764,15.309634
179,vgg11,288,288,9,67.4309945106506,27,25.22,9.48,74.355436,18.671802
180,vgg11,288,288,10,61.2181091308594,27,23.06,9.43,71.189548,17.88033
181,vgg11,320,320,1,80.9220623970032,27,30.69,10.05,84.296836,21.176608
182,vgg11,320,320,2,54.9821281433106,27,19.6,6.87,84.183548,21.148286
183,vgg11,320,320,3,57.9867672920227,27,21.5,6.52,76.154052,19.140912
184,vgg11,320,320,4,73.2226872444153,27,27.29,9.4,79.121764,19.88284
185,vgg11,320,320,5,68.7128138542175,27,25.33,8.25,90.313716,22.680828
186,vgg11,320,320,6,72.065863609314,27,27.05,7.84,87.051684,21.86532
187,vgg11,320,320,7,70.887393951416,27,26.18,8.36,90.346004,22.6889
188,vgg11,320,320,8,69.3189001083374,27,25.9,7.46,91.655092,23.016172
189,vgg11,320,320,9,54.917094707489,27,19.22,6.82,85.15762,21.391804
190,vgg11,320,320,10,83.0322551727295,27,30.75,9.91,88.656892,22.266622
191,vgg16,32,32,1,5.29034614562988,23,0.41,11.82,0.971116,0.243802
192,vgg16,32,32,2,5.96212863922119,23,0.41,13.85,0.910764,0.228714
193,vgg16,32,32,3,7.40386009216309,23,0.43,16.96,1.077708,0.27045
194,vgg16,32,32,4,7.82475471496582,23,0.53,18.04,1.149804,0.288474
195,vgg16,32,32,5,5.21388530731201,23,0.43,11.29,1.071468,0.26889
196,vgg16,32,32,6,6.21868133544922,23,0.49,14.4,0.992764,0.249214
197,vgg16,32,32,7,6.2999963760376,23,0.34,14.14,0.96246,0.241638
198,vgg16,32,32,8,6.06338500976563,23,0.46,13.73,1.030236,0.258582
199,vgg16,32,32,9,6.94466114044189,23,0.41,16.23,0.876364,0.220114
